Rozmiar,Naiwna,Ulepszona,BLAS
100,0.000708,0.000382,0.000368
200,0.006236,0.003153,0.003370
300,0.025538,0.009648,0.010189
400,0.066785,0.026633,0.024858
500,0.135856,0.058439,0.059695
600,0.240642,0.108105,0.098788
700,0.393685,0.182351,0.161996
800,0.602840,0.877626,0.258927
900,0.888804,0.411985,0.346096
1000,1.206582,0.609935,0.542489
